Year,Title,Actor,Producer,Role(s)
1980,He Knows You're Alone,Yes,No,Elliot
1984,Splash,Yes,No,Allen Bauer
1984,Bachelor Party,Yes,No,Rick Gassko
1985,The Man with One Red Shoe,Yes,No,Richard Harlan Drew
1985,Volunteers,Yes,No,Lawrence Whatley Bourne III
1986,The Money Pit,Yes,No,Walter Fielding, Jr.
1986,Nothing in Common,Yes,No,David Basner
1986,Every Time We Say Goodbye,Yes,No,David Bradley
1987,Dragnet,Yes,No,Detective Pep Streebek
1988,Punchline,Yes,No,Steven Gold
1988,Big,Yes,No,Josh Baskin
1989,The 'Burbs,Yes,No,Ray Peterson
1989,Turner & Hooch,Yes,No,Detective Scott Turner
1990,Joe Versus the Volcano,Yes,No,Joe Banks
1990,The Bonfire of the Vanities,Yes,No,Sherman McCoy
1992,Radio Flyer,Yes,No,Older Mike / Narrator
1992,A League of Their Own,Yes,No,Jimmy Dugan
1993,Sleepless in Seattle,Yes,No,Sam Baldwin
1993,Philadelphia,Yes,No,Andrew Beckett
1994,Forrest Gump,Yes,No,Forrest Gump
1995,Apollo 13,Yes,No,Jim Lovell
1995,Toy Story,Yes,No,Sheriff Woody
1996,That Thing You Do!,Yes,No,Mr. White
1998,Saving Private Ryan,Yes,No,Captain John H. Miller
1998,You've Got Mail,Yes,No,Joe Fox
1999,Toy Story 2,Yes,No,Sheriff Woody
1999,The Green Mile,Yes,No,Paul Edgecomb
2000,Cast Away,Yes,Yes,Chuck Noland
2002,My Big Fat Greek Wedding,No,Yes,—
2002,Road to Perdition,Yes,No,Michael Sullivan, Sr.
2002,Catch Me If You Can,Yes,No,FBI Agent Carl Hanratty
2004,The Ladykillers,Yes,No,Professor G.H. Dorr
2004,Connie and Carla,No,Yes,—
2004,Elvis Has Left the Building,Yes,No,Mailbox Elvis
2004,The Terminal,Yes,No,Viktor Navorski
2004,The Polar Express,Yes,Executive,The Conductor/Hero Boy/Father/Scrooge/Santa Claus/Hobo
2005,Magnificent Desolation: Walking on the Moon 3D,Yes,Yes,Narrator
2006,Cars,Yes,No,Woody Car
2006,The Ant Bully,No,Yes,—
2006,The Da Vinci Code,Yes,No,Professor Robert Langdon
2006,Starter for 10,No,Yes,—
2007,Evan Almighty,No,Executive,—
2007,Charlie Wilson's War,Yes,Yes,Charlie Wilson
2007,The Simpsons Movie,Yes,No,Himself
2008,Mamma Mia!,No,Executive,—
2008,City of Ember,No,Yes,—
2009,The Great Buck Howard,Yes,Yes,Mr. Gable
2009,Where the Wild Things Are,No,Yes,—
2009,Beyond All Boundaries,Yes,Executive,Narrator
2009,My Life in Ruins,No,Executive,—
2009,Angels & Demons,Yes,No,Professor Robert Langdon
2010,Toy Story 3,Yes,No,Sheriff Woody
2011,Hawaiian Vacation,Yes,No,Sheriff Woody
2011,Larry Crowne,Yes,Yes,Larry Crowne
2011,Extremely Loud & Incredibly Close,Yes,No,Thomas Schell Jr.
2011,Small Fry,Yes,No,Sheriff Woody
2012,Partysaurus Rex,Yes,No,Sheriff Woody
2012,Cloud Atlas,Yes,No,Dr. Henry Goose/Hotel Manager/Isaac Sachs/Dermot Hoggins/Cavendish Look-A-Like Actor/Zachry
2013,Parkland,No,Yes,—
2013,Captain Phillips,Yes,No,Captain Richard Phillips
2013,Saving Mr. Banks,Yes,No,Walt Disney
2015,Bridge of Spies,Yes,No,James B. Donovan
2015,Ithaca,Yes,Executive,Mr. Macauley
2016,My Big Fat Greek Wedding 2,No,Yes,—
2016,A Hologram for the King,Yes,Yes,Alan Clay
2016,Sully,Yes,No,Captain Chesley "Sully" Sullenberger
2016,California Typewriter,Yes,No,Himself
2016,Inferno,Yes,No,Professor Robert Langdon
2017,The Circle,Yes,Yes,Eamon Bailey
2017,Mark Felt: The Man Who Brought Down the White House,No,Yes,—
2017,The Post,Yes,No,Ben Bradlee
2018,Mamma Mia! Here We Go Again,No,Executive,—
2019,Toy Story 4,Yes,No,Sheriff Woody
2019,A Beautiful Day in the Neighborhood,Yes,No,Fred Rogers
2020,Greyhound,Yes,No,Commander Ernest Krause
2020,Borat Subsequent Moviefilm,Yes,No,Himself
2020,News of the World,Yes,No,Captain Jefferson Kyle Kidd
2021,Finch,Yes,No,Finch Weinberg
2022,Elvis,Yes,No,Colonel Tom Parker
2022,Pinocchio,Yes,No,Geppetto
2022,A Man Called Otto,Yes,Yes,Otto Anderson
2023,Asteroid City,Yes,No,Stanley Zak
2024,Here †,Yes,Yes,TBA
