ID,ltable_ID,rtable_ID
0,a394,b1242
1,a848,b1650
2,a1706,b1668
3,a536,b1534
4,a375,b1231
5,a627,b1575
6,a1215,b1675
7,a1203,b1221
8,a1326,b1126
9,a406,b1134
10,a816,b1697
11,a267,b420
12,a623,b1426
13,a1243,b1223
14,a948,b1149
15,a1233,b1319
16,a718,b1164
17,a1482,b1660
18,a380,b1685
19,a1791,b1550
20,a1419,b1677
21,a483,b1279
22,a529,b1182
23,a523,b1255
24,a1941,b1188
25,a1377,b1700
26,a1720,b1666
27,a1570,b1283
28,a481,b1243
29,a890,b1124
30,a886,b1176
31,a1497,b1688
32,a688,b1252
33,a1425,b1317
34,a1026,b1285
35,a625,b1413
36,a815,b1313
37,a1178,b1375
38,a571,b1669
39,a1793,b1197
40,a867,b1696
41,a462,b1548
42,a1339,b1155
43,a805,b1699
44,a1218,b1292
45,a713,b1458
46,a699,b1129
47,a389,b1281
48,a1103,b954
49,a1219,b1296
50,a1601,b1299
51,a1816,b1608
52,a1632,b1253
53,a1690,b1273
54,a1149,b1145
55,a913,b1233
56,a638,b1287
57,a1594,b1576
58,a495,b1485
59,a1975,b1153
60,a338,b1127
61,a394,b1289
62,a978,b1135
63,a1201,b1136
64,a1157,b1137
65,a577,b1138
66,a2000,b1139
67,a1402,b1140
68,a1531,b1141
69,a1578,b1142
70,a1257,b1143
71,a306,b1144
72,a1744,b1146
73,a557,b1147
74,a1337,b1148
75,a491,b1150
76,a1164,b1151
77,a330,b1152
78,a887,b1461
79,a1502,b1156
80,a453,b1556
81,a1242,b1158
82,a658,b1159
83,a989,b1160
84,a1558,b1249
85,a528,b1162
86,a710,b1163
87,a1846,b1238
88,a580,b1487
89,a938,b1544
90,a1663,b1602
91,a751,b1174
92,a891,b1177
93,a643,b1178
94,a410,b1179
95,a1381,b1181
96,a1638,b1183
97,a548,b1184
98,a1782,b1185
99,a376,b1186
100,a1920,b1187
101,a1550,b1189
102,a1390,b1190
103,a1747,b1192
104,a1755,b1391
105,a646,b1194
106,a1637,b1195
107,a1326,b1196
108,a1338,b1198
109,a572,b1201
110,a850,b1236
111,a571,b1203
112,a992,b1204
113,a1133,b1205
114,a307,b1353
115,a1486,b1209
116,a1733,b1215
117,a1380,b1681
118,a330,b1230
119,a1458,b1234
120,a1450,b1235
121,a955,b1237
122,a1942,b1239
123,a698,b1240
124,a1324,b1244
125,a1916,b1245
126,a1390,b1246
127,a1754,b1247
128,a1132,b1248
129,a1955,b1250
130,a1235,b1251
131,a1290,b1324
132,a440,b1259
133,a917,b1260
134,a1530,b1262
135,a1320,b1264
136,a1775,b1265
137,a1324,b1266
138,a1901,b1267
139,a806,b1268
140,a1111,b1269
141,a1286,b1463
142,a714,b1465
143,a1166,b1274
144,a1889,b1486
145,a937,b1276
146,a1907,b1277
147,a1419,b1278
148,a588,b1280
149,a1261,b1282
150,a1931,b1284
151,a1328,b1286
152,a1244,b1538
153,a1544,b1291
154,a1321,b1294
155,a629,b1295
156,a1173,b1298
157,a1605,b1453
158,a1650,b1303
159,a722,b1308
160,a1708,b1309
161,a871,b1310
162,a1665,b1311
163,a1379,b1312
164,a744,b1316
165,a751,b1420
166,a343,b1318
167,a1220,b1320
